1	смотри	смотреть	VERB	_	Aspect=Imp|Mood=Imp|Number=Sing|Person=2|VerbForm=Fin|Voice=Act	_	_	_	@uad1986m-words#@uad1986m#3.902#4.143
2	как	как	PRON	_	_	_	_	_	@uad1986m-words#@uad1986m#4.143#4.384
3	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	@uad1986m-words#@uad1986m#4.384#4.625
4	пишешь	писать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@uad1986m-words#@uad1986m#4.625#4.866
5	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@uad1986m-words#@uad1986m#4.866#5.107
6	правильно	правильно	ADV	_	Degree=Pos	_	_	_	@uad1986m-words#@uad1986m#5.107#5.348
7	понимаю	понимать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@uad1986m-words#@uad1986m#5.348#5.589
8	что	что	SCONJ	_	_	_	_	_	@uad1986m-words#@uad1986m#5.589#5.83
9	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	@uad1986m-words#@uad1986m#5.83#6.071
10	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@uad1986m-words#@uad1986m#6.071#6.312
11	делаешь	делать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@uad1986m-words#@uad1986m#6.312#6.553
12	в	в	ADP	_	_	_	_	_	@uad1986m-words#@uad1986m#6.553#6.794
13	той	тот	DET	_	Case=Loc|Gender=Fem|Number=Sing	_	_	_	@uad1986m-words#@uad1986m#6.794#7.035
14	же	же	PART	_	_	_	_	_	@uad1986m-words#@uad1986m#7.035#7.276
15	проге	прога	NOUN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	_	_	_	@uad1986m-words#@uad1986m#7.276#7.517
16	что	что	SCONJ	_		_	_	_	@uad1986m-words#@uad1986m#7.517#7.758
17	и	и	PART	_	_	_	_	_	@uad1986m-words#@uad1986m#7.758#7.999
18	реперы	репер	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur	_	_	_	@uad1986m-words#@uad1986m#7.999#8.24
19	биты	бит	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Plur	_	_	_	@uad1986m-words#@uad1986m#8.24#8.481
20	себе	себя	PRON	_	Case=Dat	_	_	_	@uad1986m-words#@uad1986m#8.481#8.722
21	настукивают	настукивать	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@uad1986m-words#@uad1986m#8.722#8.964
22	а	а	CCONJ	_	_	_	_	_	@uad1986m-words#@uad1986m#10.405#10.508
23	так	так	ADV	_	Degree=Pos	_	_	_	@uad1986m-words#@uad1986m#18.854#19.25
24	йогуртный	йогуртный	ADJ	_	Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@uad1986m-words#@uad1986m#25.348#25.886
25	английский	английский	ADJ	_	Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@uad1986m-words#@uad1986m#25.886#26.425
26	ага	ага	INTJ	_	_	_	_	_	@uad1986m-words#@uad1986m#34.867#35.394
27	то	то	SCONJ	_	_	_	_	_	@uad1986m-words#@uad1986m#47.2#47.578
28	что	что	SCONJ	_	_	_	_	_	@uad1986m-words#@uad1986m#47.578#47.956
29	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	@uad1986m-words#@uad1986m#47.956#48.334
30	называешь	называть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@uad1986m-words#@uad1986m#48.334#48.712
31	творчеством	творчество	NOUN	_	Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing	_	_	_	@uad1986m-words#@uad1986m#48.712#49.09
32	#хмыкает#	#хмыкает#	X	_	_	_	_	_	@uad1986m-words#@uad1986m#49.09#49.468
33	куча	куча	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@uad1986m-words#@uad1986m#49.468#49.846
34	народу…	народ	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	_	_	@uad1986m-words#@uad1986m#49.846#50.224
35	а	а	CCONJ	_	_	_	_	_	@uad1986m-words#@uad1986m#50.224#50.602
36	там	там	ADV	_	Degree=Pos	_	_	_	@uad1986m-words#@uad1986m#50.602#50.98
37	в	в	ADP	_	_	_	_	_	@uad1986m-words#@uad1986m#50.98#51.358
38	в	в	ADP	_	_	_	_	_	@uad1986m-words#@uad1986m#51.358#51.736
39	комментариях	комментарий	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Plur	_	_	_	@uad1986m-words#@uad1986m#51.736#52.114
40	где	где	ADV	_	Degree=Pos	_	_	_	@uad1986m-words#@uad1986m#52.114#52.492
41	угодно	угодно	ADV	_	Degree=Pos	_	_	_	@uad1986m-words#@uad1986m#52.492#52.87
42	ещё	еще	PART	_		_	_	_	@uad1986m-words#@uad1986m#52.87#53.248
43	есть	быть	AUX	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@uad1986m-words#@uad1986m#53.248#53.626
44	те	тот	DET	_	Case=Nom|Number=Plur	_	_	_	@uad1986m-words#@uad1986m#53.626#54.004
45	кто	кто	PRON	_	Case=Nom	_	_	_	@uad1986m-words#@uad1986m#54.004#54.382
46	слушают	слушать	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@uad1986m-words#@uad1986m#54.382#54.76
47	музыку	музыка	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	_	_	@uad1986m-words#@uad1986m#54.76#55.138
48	они…	он	PRON	_	Case=Nom|Number=Plur|Person=3	_	_	_	@uad1986m-words#@uad1986m#55.138#55.516
49	а	а	CCONJ	_	_	_	_	_	@uad1986m-words#@uad1986m#55.516#55.894
50	скажут	сказать	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Person=3|Tense=Fut|VerbForm=Fin|Voice=Act	_	_	_	@uad1986m-words#@uad1986m#55.894#56.272
51	тебе	ты	PRON	_	Case=Dat|Number=Sing|Person=2	_	_	_	@uad1986m-words#@uad1986m#56.272#56.65
52	блять	блять	INTJ	_	_	_	_	_	@uad1986m-words#@uad1986m#56.65#57.028
53	ну	ну	PART	_	_	_	_	_	@uad1986m-words#@uad1986m#57.028#57.406
54	дружище	дружище	NOUN	_	Animacy=Anim|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@uad1986m-words#@uad1986m#57.406#57.784
55	а	а	PART	_	_	_	_	_	@uad1986m-words#@uad1986m#57.784#58.162
56	чт	чтo	PRON	_	_	_	_	_	@uad1986m-words#@uad1986m#58.162#58.54
57	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	@uad1986m-words#@uad1986m#58.54#58.918
58	ну	ну	PART	_	_	_	_	_	@uad1986m-words#@uad1986m#58.918#59.296
59	разве	разве	PART	_	_	_	_	_	@uad1986m-words#@uad1986m#59.296#59.674
60	это	этот	PRON	_	Case=Nom|Gender=Neut|Number=Sing	_	_	_	@uad1986m-words#@uad1986m#59.674#60.052
61	творчество	творчество	NOUN	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@uad1986m-words#@uad1986m#60.052#60.43
62	это	это	PRON	_	Case=Nom|Gender=Neut|Number=Sing	_	_	_	@uad1986m-words#@uad1986m#60.43#60.808
63	же	же	PART	_	_	_	_	_	@uad1986m-words#@uad1986m#60.808#61.186
64	просто	просто	PART	_	_	_	_	_	@uad1986m-words#@uad1986m#61.186#61.564
65	удачная	удачный	ADJ	_	Case=Nom|Degree=Pos|Gender=Fem|Number=Sing	_	_	_	@uad1986m-words#@uad1986m#61.564#61.942
66	эксплуатация	эксплуатация	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@uad1986m-words#@uad1986m#61.942#62.32
67	мемов	мем	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur	_	_	_	@uad1986m-words#@uad1986m#62.32#62.698
68	и	и	CCONJ	_	_	_	_	_	@uad1986m-words#@uad1986m#62.698#63.076
69	а	а	INTJ	_	_	_	_	_	@uad1986m-words#@uad1986m#63.076#63.454
70	культурных	культурный	ADJ	_	Case=Gen|Degree=Pos|Number=Plur	_	_	_	@uad1986m-words#@uad1986m#63.454#63.832
71	кодов	код	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur	_	_	_	@uad1986m-words#@uad1986m#63.832#64.21
72	м	м	INTJ	_	_	_	_	_	@uad1986m-words#@uad1986m#64.21#64.588
73	современности	современность	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	_	_	_	@uad1986m-words#@uad1986m#64.588#64.993
74	а	а	PART	_	_	_	_	_	@uad1986m-words#@uad1986m#73.882#74.177
75	объясни	объяснить	VERB	_	Aspect=Perf|Mood=Imp|Number=Sing|Person=2|VerbForm=Fin|Voice=Act	_	_	_	@uad1986m-words#@uad1986m#74.177#74.472
76	почему	почему	ADV	_	Degree=Pos	_	_	_	@uad1986m-words#@uad1986m#74.472#74.767
77	они	они	PRON	_	Case=Nom|Number=Plur|Person=3	_	_	_	@uad1986m-words#@uad1986m#74.767#75.062
78	неправы	неправый	ADJ	_	Degree=Pos|Number=Plur|Variant=Short	_	_	_	@uad1986m-words#@uad1986m#75.062#75.36
79	ну	ну	PART	_	_	_	_	_	@uad1986m-words#@uad1986m#76.356#76.685
80	вот	вот	PART	_	_	_	_	_	@uad1986m-words#@uad1986m#76.685#77.014
81	объясни	объяснить	VERB	_	Aspect=Perf|Gender=Masc|Mood=Imp|Number=Sing|VerbForm=Fin|Voice=Act	_	_	_	@uad1986m-words#@uad1986m#77.014#77.343
82	почему	почему	ADV	_	Degree=Pos	_	_	_	@uad1986m-words#@uad1986m#77.343#77.672
83	это	этот	PRON	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	@uad1986m-words#@uad1986m#77.672#78.001
84	#вздыхает#	#вздыхает#	X	_	_	_	_	_	@uad1986m-words#@uad1986m#78.001#78.33
85	они	они	PRON	_	Case=Nom|Number=Plur|Person=3	_	_	_	@uad1986m-words#@uad1986m#78.33#78.659
86	неправы	неправый	ADJ	_	Degree=Pos|Number=Plur|Variant=Short	_	_	_	@uad1986m-words#@uad1986m#78.659#78.995
87	так	так	ADV	_	Degree=Pos	_	_	_	@uad1986m-words#@uad1986m#83.107#83.264
88	а	а	CCONJ	_	_	_	_	_	@uad1986m-words#@uad1986m#112.059#112.436
89	язык	язык	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@uad1986m-words#@uad1986m#112.436#112.813
90	просто	просто	PART	_	_	_	_	_	@uad1986m-words#@uad1986m#112.813#113.19
91	современного	современный	ADJ	_	Case=Gen|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@uad1986m-words#@uad1986m#113.19#113.567
92	молодняка	молодняка	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	_	_	@uad1986m-words#@uad1986m#113.567#113.945
93	блин	блин	INTJ	_		_	_	_	@uad1986m-words#@uad1986m#120.308#120.55
94	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@uad1986m-words#@uad1986m#120.55#120.792
95	понял	понять	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@uad1986m-words#@uad1986m#120.792#121.034
96	да	да	PART	_	_	_	_	_	@uad1986m-words#@uad1986m#121.034#121.278
97	Буерак	Буерак	PROPN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@uad1986m-words#@uad1986m#122.516#122.929
98	расскажи	рассказать	VERB	_	Aspect=Perf|Mood=Imp|Number=Sing|Person=2|VerbForm=Fin|Voice=Act	_	_	_	@uad1986m-words#@uad1986m#123.421#123.769
99	мгм	мгм	INTJ	_	_	_	_	_	@uad1986m-words#@uad1986m#142.682#143.0
100	чё	че	PRON	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	@uad1986m-words#@uad1986m#144.752#144.972
101	думаешь	думать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@uad1986m-words#@uad1986m#144.972#145.192
102	о	о	ADP	_	_	_	_	_	@uad1986m-words#@uad1986m#145.192#145.412
103	нем	он	PRON	_	Case=Loc|Gender=Masc|Number=Sing|Person=3	_	_	_	@uad1986m-words#@uad1986m#145.412#145.634
104	мгм	мгм	INTJ	_	_	_	_	_	@uad1986m-words#@uad1986m#161.66#162.026
105	у	у	ADP	_	_	_	_	_	@uad1986m-words#@uad1986m#162.673#162.939
106	тебя	ты	PRON	_	Case=Gen|Number=Sing|Person=2	_	_	_	@uad1986m-words#@uad1986m#162.939#163.205
107	не	не	PART	_	_	_	_	_	@uad1986m-words#@uad1986m#163.205#163.471
108	так	так	ADV	_	Degree=Pos	_	_	_	@uad1986m-words#@uad1986m#163.471#163.737
109	музыка	музыка	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@uad1986m-words#@uad1986m#163.737#164.003
110	сделана	делать	VERB	_	Aspect=Perf|Gender=Fem|Number=Sing|Tense=Past|Variant=Short|VerbForm=Part|Voice=Pass	_	_	_	@uad1986m-words#@uad1986m#164.003#164.27
111	а	а	PART	_	_	_	_	_	@uad1986m-words#@uad1986m#165.208#165.317
112	ну	ну	PART	_	_	_	_	_	@uad1986m-words#@uad1986m#167.7#167.914
113	смотри	смотреть	VERB	_	Aspect=Imp|Mood=Imp|Number=Sing|Person=2|VerbForm=Fin|Voice=Act	_	_	_	@uad1986m-words#@uad1986m#167.914#168.128
114	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	_	_	_	@uad1986m-words#@uad1986m#168.128#168.342
115	так	так	ADV	_	Degree=Pos	_	_	_	@uad1986m-words#@uad1986m#168.342#168.556
116	же	же	PART	_	_	_	_	_	@uad1986m-words#@uad1986m#168.556#168.77
117	мемчики	мемчик	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Plur	_	_	_	@uad1986m-words#@uad1986m#168.77#168.984
